doi,year
10.1016/j.ejmech.2021.113922,2022.0
10.1016/j.ejmech.2021.114012,2022.0
10.1016/j.ejmech.2021.114013,2022.0
10.1016/j.ejmech.2021.114088,2022.0
10.1016/j.ejmech.2022,
10.1016/j.ejmech.2022.114253,2022.0
10.1016/j.ejmech.2022.114259,2022.0
10.1016/j.ejmech.2022.114321,2022.0
10.1016/j.ejmech.2022.114373,2022.0
10.1016/j.ejmech.2022.114455,2022.0
10.1016/j.ejmech.2022.114459,2022.0
10.1016/j.ejmech.2022.114462,2022.0
10.1016/j.ejmech.2022.114509,2022.0
10.1016/j.ejmech.2022.114528,2022.0
10.1016/j.ejmech.2022.114770,2022.0
10.1016/j.ejmech.2022.114786,2022.0
10.1016/j.ejmech.2022.114792,2022.0
10.1016/j.ejmech.2022.114810,2022.0
10.1016/j.ejmech.2022.114821,2022.0
10.1016/j.ejmech.2022.114830,2022.0
10.1016/j.ejmech.2022.114910,2023.0
10.1016/j.ejmech.2022.115027,2023.0
10.1016/j.ejmech.2022.115033,2023.0
10.1016/j.ejmech.2022.115072,2023.0
10.1016/j.ejmech.2022.115082,2023.0
10.1016/j.ejmech.2023.115248,2023.0
10.1016/j.ejmech.2023.115342,2023.0
10.1016/j.ejmech.2023.115343,2023.0
10.1016/j.ejmech.2023.115381,2023.0
10.1016/j.ejmech.2023.115393,2023.0
10.1016/j.ejmech.2023.115403,2023.0
10.1016/j.ejmech.2023.115497,2023.0
10.1016/j.ejmech.2023.115580,2023.0
10.1016/j.ejmech.2023.115664,2023.0
10.1016/j.ejmech.2023.115690,2023.0
10.1016/j.ejmech.2023.115774,2023.0
10.1016/j.ejmech.2023.115857,2023.0
10.1016/j.ejmech.2023.115872,2023.0
10.1016/j.ejmech.2023.115974,2024.0
10.1016/j.ejmech.2023.116067,2024.0
10.1016/j.ejmech.2023.116110,2024.0
10.1016/j.ejmech.2024.116154,2024.0
10.1016/j.ejmech.2024.116159,2024.0
10.1016/j.ejmech.2024.116167,2024.0
10.1016/j.ejmech.2024.116184,2024.0
10.1016/j.ejmech.2024.116202,2024.0
10.1016/j.ejmech.2024.116237,2024.0
10.1016/j.ejmech.2024.116488,2024.0
10.1016/j.ejmech.2024.116489,2024.0
10.1016/j.ejmech.2024.116494,2024.0
10.1016/j.ejmech.2024.116539,2024.0
10.1016/j.ejmech.2024.116572,2024.0
10.1016/j.ejmech.2024.116612,2024.0
10.1016/j.ejmech.2024.116613,2024.0
10.1016/j.ejmech.2024.116629,2024.0
10.1016/j.ejmech.2024.116665,2024.0
10.1016/j.ejmech.2024.116751,2024.0
